S.No.,Item,2014-15,State,Percentage,Category
1,"Agriculture, forestry and fishing",3855548,Assam,19.46283153,C4
1.1,Crops,2890544,Assam,14.59148502,C4
1.2,Livestock,173478,Assam,0.875718079,C4
1.3,Forestry and logging,261987,Assam,1.32251209,C4
1.4,Fishing and aquaculture,529539,Assam,2.673116336,C4
2,Mining and quarrying,1471149,Assam,7.426369777,C4
Total,Primary,5326697,Assam,26.8892013,C4
3,Manufacturing,2002936,Assam,10.11083403,C4
4,"Electricity, gas, water supply & other utility services",296587,Assam,1.497173116,C4
5,Construction,1733568,Assam,8.751062605,C4
Total,Secondary,4033091,Assam,20.35906975,C4
6,"Trade, repair, hotels and restaurants",2987155,Assam,15.07917798,C4
6.1,Trade & repair services,2876251,Assam,14.51933387,C4
6.2,Hotels & restaurants,110904,Assam,0.559844118,C4
7,"Transport, storage, communication & services related to broadcasting",1194568,Assam,6.030187079,C4
7.1,Railways,252509,Assam,1.274667084,C4
7.2,Road transport,507668,Assam,2.562711385,C4
7.3,Water transport,4502,Assam,0.022726125,C4
7.4,Air transport,26223,Assam,0.132373876,C4
7.5,Services incidental to transport,35739,Assam,0.180410706,C4
7.6,Storage,10308,Assam,0.052034851,C4
7.7,Communication & services related to broadcasting,357619,Assam,1.805263052,C4
8,Financial services,543651,Assam,2.744353805,C4
9,"Real estate, ownership of dwelling & professional services",1412466,Assam,7.130137609,C4
10,Public administration,1373611,Assam,6.933997314,C4
11,Other services,1795658,Assam,9.064493332,C4
Total,Tertiary,9307109,Assam,46.98234712,C4
12,TOTAL GSVA at basic prices,18666897,Assam,94.23061818,C4
13,Taxes on Products,1725309,Assam,8.709371119,C4
14,Subsidies on products,582406,Assam,2.939989298,C4
15,Gross State Domestic Product,19809800,Assam,100,C4
16,Population ('00),326780,Assam,1.649587578,C4
17,Per Capita GSDP (Rs.),60621,Assam,0.306015205,C4
1,"Agriculture, forestry and fishing",7951890,Bihar,21.26629373,C4
1.1,Crops,4688237,Bihar,12.53807901,C4
1.2,Livestock,2060296,Bihar,5.50999321,C4
1.3,Forestry and logging,550132,Bihar,1.471256356,C4
1.4,Fishing and aquaculture,653224,Bihar,1.746962478,C4
2,Mining and quarrying,68107,Bihar,0.182143298,C4
Total,Primary,8019997,Bihar,21.44843703,C4
3,Manufacturing,2189965,Bihar,5.856776056,C4
4,"Electricity, gas, water supply & other utility services",345168,Bihar,0.923106843,C4
5,Construction,3449763,Bihar,9.225941664,C4
Total,Secondary,5984896,Bihar,16.00582456,C4
6,"Trade, repair, hotels and restaurants",7448373,Bihar,19.91970312,C4
6.1,Trade & repair services,7081391,Bihar,18.93825758,C4
6.2,Hotels & restaurants,366982,Bihar,0.981445544,C4
7,"Transport, storage, communication & services related to broadcasting",3147173,Bihar,8.416704135,C4
7.1,Railways,462413,Bihar,1.236663319,C4
7.2,Road transport,1572288,Bihar,4.204879398,C4
7.3,Water transport,2228,Bihar,0.005958496,C4
7.4,Air transport,13599,Bihar,0.036368754,C4
7.5,Services incidental to transport,166600,Bihar,0.445549993,C4
7.6,Storage,10618,Bihar,0.028396458,C4
7.7,Communication & services related to broadcasting,919427,Bihar,2.458887717,C4
8,Financial services,1178022,Bihar,3.150466351,C4
9,"Real estate, ownership of dwelling & professional services",3740641,Bihar,10.00385698,C4
10,Public administration,2078171,Bihar,5.557797569,C4
11,Other services,4587589,Bihar,12.26890905,C4
Total,Tertiary,22179969,Bihar,59.3174372,C4
12,TOTAL GSVA at basic prices,36184863,Bihar,96.77170147,C4
13,Taxes on Products,3213546,Bihar,8.594210075,C4
14,Subsidies on products,2006421,Bihar,5.365911542,C4
15,Gross State Domestic Product,37391988,Bihar,100,C4
16,Population ('00),1101240,Bihar,2.945122896,C4
17,Per Capita GSDP (Rs.),33954,Bihar,0.090805549,C4
1,"Agriculture, forestry and fishing",3948847,Chhattisgarh,16.80490574,C1
1.1,Crops,2613371,Chhattisgarh,11.12158899,C1
1.2,Livestock,352208,Chhattisgarh,1.49887353,C1
1.3,Forestry and logging,597785,Chhattisgarh,2.543962979,C1
1.4,Fishing and aquaculture,385483,Chhattisgarh,1.640480241,C1
2,Mining and quarrying,2451970,Chhattisgarh,10.43472303,C1
Total,Primary,6400817,Chhattisgarh,27.23962877,C1
3,Manufacturing,4370593,Chhattisgarh,18.59970857,C1
4,"Electricity, gas, water supply & other utility services",1198438,Chhattisgarh,5.100131159,C1
5,Construction,2669855,Chhattisgarh,11.36196505,C1
Total,Secondary,8238886,Chhattisgarh,35.06180479,C1
6,"Trade, repair, hotels and restaurants",1535571,Chhattisgarh,6.534850784,C1
6.1,Trade & repair services,1414164,Chhattisgarh,6.018185238,C1
6.2,Hotels & restaurants,121407,Chhattisgarh,0.516665546,C1
7,"Transport, storage, communication & services related to broadcasting",871770,Chhattisgarh,3.709946898,C1
7.1,Railways,159176,Chhattisgarh,0.677397143,C1
7.2,Road transport,386628,Chhattisgarh,1.645352959,C1
7.3,Water transport,0,Chhattisgarh,0,C1
7.4,Air transport,9507,Chhattisgarh,0.040458453,C1
7.5,Services incidental to transport,5232,Chhattisgarh,0.022265554,C1
7.6,Storage,16675,Chhattisgarh,0.070962943,C1
7.7,Communication & services related to broadcasting,294552,Chhattisgarh,1.253509846,C1
8,Financial services,739057,Chhattisgarh,3.145166987,C1
9,"Real estate, ownership of dwelling & professional services",2462166,Chhattisgarh,10.47811362,C1
10,Public administration,867982,Chhattisgarh,3.693826501,C1
11,Other services,1112232,Chhattisgarh,4.733268704,C1
Total,Tertiary,7588778,Chhattisgarh,32.2951735,C1
12,TOTAL GSVA at basic prices,22228481,Chhattisgarh,94.59660706,C1
13,Taxes on Products,2601791,Chhattisgarh,11.07230858,C1
14,Subsidies on products,1332092,Chhattisgarh,5.668915635,C1
15,Gross State Domestic Product,23498180,Chhattisgarh,100,C1
16,Population ('00),270530,Chhattisgarh,1.151280652,C1
17,Per Capita GSDP (Rs.),86860,Chhattisgarh,0.369645649,C1
1,"Agriculture, forestry and fishing",308507,Goa,7.592510239,C3
1.1,Crops,140421,Goa,3.455830436,C3
1.2,Livestock,30141,Goa,0.741784955,C3
1.3,Forestry and logging,15744,Goa,0.387467646,C3
1.4,Fishing and aquaculture,122201,Goa,3.007427202,C3
2,Mining and quarrying,3622,Goa,0.089139216,C3
Total,Primary,312129,Goa,7.681649454,C3
3,Manufacturing,1177608,Goa,28.98151678,C3
4,"Electricity, gas, water supply & other utility services",204110,Goa,5.023248305,C3
5,Construction,165819,Goa,4.080887809,C3
Total,Secondary,1547536,Goa,38.08562828,C3
6,"Trade, repair, hotels and restaurants",380927,Goa,9.374802347,C3
6.1,Trade & repair services,343492,Goa,8.453508435,C3
6.2,Hotels & restaurants,37434,Goa,0.921269301,C3
7,"Transport, storage, communication & services related to broadcasting",189656,Goa,4.667528198,C3
7.1,Railways,15649,Goa,0.385129649,C3
7.2,Road transport,46171,Goa,1.136291203,C3
7.3,Water transport,17820,Goa,0.438559036,C3
7.4,Air transport,46359,Goa,1.140917976,C3
7.5,Services incidental to transport,19272,Goa,0.474293476,C3
7.6,Storage,357,Goa,0.008785947,C3
7.7,Communication & services related to broadcasting,44028,Goa,1.083550911,C3
8,Financial services,233618,Goa,5.749454816,C3
9,"Real estate, ownership of dwelling & professional services",407099,Goa,10.01890824,C3
10,Public administration,346486,Goa,8.52719226,C3
11,Other services,180431,Goa,4.440496374,C3
Total,Tertiary,1738217,Goa,42.77838224,C3
12,TOTAL GSVA at basic prices,3597882,Goa,88.54565998,C3
13,Taxes on Products,527279,Goa,12.97659763,C3
14,Subsidies on products,61854,Goa,1.522257609,C3
15,Gross State Domestic Product,4063307,Goa,100,C3
16,Population ('00),14950,Goa,0.367926913,C3
17,Per Capita GSDP (Rs.),271793,Goa,6.688960494,C3
1,"Agriculture, forestry and fishing",13769969,Gujarat,15.38497145,C2
1.1,Crops,9671086,Gujarat,10.80535345,C2
1.2,Livestock,2698910,Gujarat,3.015450021,C2
1.3,Forestry and logging,761616,Gujarat,0.85094167,C2
1.4,Fishing and aquaculture,638357,Gujarat,0.713226313,C2
2,Mining and quarrying,2117218,Gujarat,2.365534628,C2
Total,Primary,15887187,Gujarat,17.75050608,C2
3,Manufacturing,24087538,Gujarat,26.91263027,C2
4,"Electricity, gas, water supply & other utility services",3409983,Gujarat,3.809920786,C2
5,Construction,5526017,Gujarat,6.174132549,C2
Total,Secondary,33023538,Gujarat,36.89668361,C2
6,"Trade, repair, hotels and restaurants",10178713,Gujarat,11.37251717,C2
6.1,Trade & repair services,10178713,Gujarat,11.37251717,C2
6.2,Hotels & restaurants,,Gujarat,0,C2
7,"Transport, storage, communication & services related to broadcasting",4555910,Gujarat,5.090247139,C2
7.1,Railways,511593,Gujarat,0.571594874,C2
7.2,Road transport,,Gujarat,0,C2
7.3,Water transport,,Gujarat,0,C2
7.4,Air transport,,Gujarat,0,C2
7.5,Services incidental to transport*,2744163,Gujarat,3.066010492,C2
7.6,Storage,57634,Gujarat,0.064393569,C2
7.7,Communication & services related to broadcasting,1242520,Gujarat,1.388248204,C2
8,Financial services,4606644,Gujarat,5.146931445,C2
9,"Real estate, ownership of dwelling & professional services",5179502,Gujarat,5.786976748,C2
10,Public administration,2576195,Gujarat,2.878342467,C2
11,Other services,3123413,Gujarat,3.489740598,C2
Total,Tertiary,30220377,Gujarat,33.76475557,C2
12,TOTAL GSVA at basic prices,79131102,Gujarat,88.41194526,C2
13,Taxes on Products,12353171.04,Gujarat,13.80200521,C2
14,Subsidies on products,1981546,Gujarat,2.21395042,C2
15,Gross State Domestic Product,89502727,Gujarat,100,C2
16,Population ('00),633590,Gujarat,0.707900219,C2
17,Per Capita GSDP (Rs.),141263,Gujarat,0.157830945,C2
1,"Agriculture, forestry and fishing",8015238,Haryana,18.32213248,C3
1.1,Crops,4636731,Haryana,10.5991612,C3
1.2,Livestock,2916173,Haryana,6.666116219,C3
1.3,Forestry and logging,352254,Haryana,0.80522181,C3
1.4,Fishing and aquaculture,110080,Haryana,0.251633244,C3
2,Mining and quarrying,25186,Haryana,0.057572991,C3
Total,Primary,8040424,Haryana,18.37970547,C3
3,Manufacturing,7756921,Haryana,17.73164243,C3
4,"Electricity, gas, water supply & other utility services",1101919,Haryana,2.518890381,C3
5,Construction,3702571,Haryana,8.463753212,C3
Total,Secondary,12561411,Haryana,28.71428602,C3
6,"Trade, repair, hotels and restaurants",4986319,Haryana,11.39828877,C3
6.1,Trade & repair services,4817784,Haryana,11.01303251,C3
6.2,Hotels & restaurants,168535,Haryana,0.385256258,C3
7,"Transport, storage, communication & services related to broadcasting",2560623,Haryana,5.853360041,C3
7.1,Railways,423873,Haryana,0.968936575,C3
7.2,Road transport,1452364,Haryana,3.319976975,C3
7.3,Water transport,,Haryana,0,C3
7.4,Air transport,,Haryana,0,C3
7.5,Services incidental to transport,190269,Haryana,0.434938279,C3
7.6,Storage,14459,Haryana,0.033052008,C3
7.7,Communication & services related to broadcasting,479658,Haryana,1.096456202,C3
8,Financial services,1671486,Haryana,3.820870687,C3
9,"Real estate, ownership of dwelling & professional services",6970183,Haryana,15.93322822,C3
10,Public administration,1036377,Haryana,2.369067106,C3
11,Other services,2001581,Haryana,4.575438963,C3
Total,Tertiary,19226568,Haryana,43.9502515,C3
12,TOTAL GSVA at basic prices,39828404,Haryana,91.04424528,C3
13,Taxes on Products,4985670,Haryana,11.39680521,C3
14,Subsidies on products,1067867,Haryana,2.441050489,C3
15,Gross State Domestic Product,43746207,Haryana,100,C3
16,Population ('00),266620,Haryana,0.609469982,C3
17,Per Capita GSDP (Rs.),164077,Haryana,0.37506566,C3
1,"Agriculture, forestry and fishing",1514981,Himachal_Pradesh,14.51565166,C2
1.1,Crops,853758,Himachal_Pradesh,8.180204063,C2
1.2,Livestock,110304,Himachal_Pradesh,1.056867671,C2
1.3,Forestry and logging,540950,Himachal_Pradesh,5.183062868,C2
1.4,Fishing and aquaculture,9968,Himachal_Pradesh,0.095507479,C2
2,Mining and quarrying,33385,Himachal_Pradesh,0.319875319,C2
Total,Primary,1548366,Himachal_Pradesh,14.83552698,C2
3,Manufacturing,2543637,Himachal_Pradesh,24.37162489,C2
4,"Electricity, gas, water supply & other utility services",767268,Himachal_Pradesh,7.351508051,C2
5,Construction,808256,Himachal_Pradesh,7.744230818,C2
Total,Secondary,4119162,Himachal_Pradesh,39.46737334,C2
6,"Trade, repair, hotels and restaurants",615496,Himachal_Pradesh,5.897318537,C2
6.1,Trade & repair services,494162,Himachal_Pradesh,4.734767932,C2
6.2,Hotels & restaurants,121333,Himachal_Pradesh,1.162541024,C2
7,"Transport, storage, communication & services related to broadcasting",552234,Himachal_Pradesh,5.29117948,C2
7.1,Railways,2528,Himachal_Pradesh,0.0242218,C2
7.2,Road transport,349608,Himachal_Pradesh,3.349737024,C2
7.3,Water transport,0,Himachal_Pradesh,0,C2
7.4,Air transport,3979,Himachal_Pradesh,0.038124424,C2
7.5,Services incidental to transport,1724,Himachal_Pradesh,0.016518348,C2
7.6,Storage,129,Himachal_Pradesh,0.001236002,C2
7.7,Communication & services related to broadcasting,194266,Himachal_Pradesh,1.861341882,C2
8,Financial services,362521,Himachal_Pradesh,3.47346175,C2
9,"Real estate, ownership of dwelling & professional services",1125937,Himachal_Pradesh,10.78806222,C2
10,Public administration,553974,Himachal_Pradesh,5.307851131,C2
11,Other services,923164,Himachal_Pradesh,8.845211294,C2
Total,Tertiary,4133326,Himachal_Pradesh,39.60308441,C2
12,TOTAL GSVA at basic prices,9800853,Himachal_Pradesh,93.90597515,C2
13,Taxes on Products,895317,Himachal_Pradesh,8.578397814,C2
14,Subsidies on products,259291,Himachal_Pradesh,2.484372962,C2
15,Gross State Domestic Product,10436879,Himachal_Pradesh,100,C2
16,Population ('00),70840,Himachal_Pradesh,0.67874697,C2
17,Per Capita GSDP (Rs.),147330,Himachal_Pradesh,1.411628898,C2
1,"Agriculture, forestry and fishing",3211065,Jharkhand,14.79022942,C4
1.1,Crops,2094466,Jharkhand,9.647152158,C4
1.2,Livestock,562503,Jharkhand,2.590900034,C4
1.3,Forestry and logging,445149,Jharkhand,2.05036517,C4
1.4,Fishing and aquaculture,108947,Jharkhand,0.501812054,C4
2,Mining and quarrying,2037289,Jharkhand,9.383793756,C4
Total,Primary,5248354,Jharkhand,24.17402317,C4
3,Manufacturing,4114148,Jharkhand,18.94984772,C4
4,"Electricity, gas, water supply & other utility services",337489,Jharkhand,1.554481063,C4
5,Construction,1789834,Jharkhand,8.244011092,C4
Total,Secondary,6241471,Jharkhand,28.74833988,C4
6,"Trade, repair, hotels and restaurants",1991359,Jharkhand,9.17223926,C4
6.1,Trade & repair services,1840196,Jharkhand,8.475979468,C4
6.2,Hotels & restaurants,151163,Jharkhand,0.696259792,C4
7,"Transport, storage, communication & services related to broadcasting",1470022,Jharkhand,6.770950643,C4
7.1,Railways,472702,Jharkhand,2.177274837,C4
7.2,Road transport,649648,Jharkhand,2.992291641,C4
7.3,Water transport,0,Jharkhand,0,C4
7.4,Air transport,6716,Jharkhand,0.03093403,C4
7.5,Services incidental to transport,17436,Jharkhand,0.080310564,C4
7.6,Storage,306,Jharkhand,0.001409442,C4
7.7,Communication & services related to broadcasting,323214,Jharkhand,1.488730129,C4
8,Financial services,551441,Jharkhand,2.539948241,C4
9,"Real estate, ownership of dwelling & professional services",1656784,Jharkhand,7.631180139,C4
10,Public administration,1088325,Jharkhand,5.01284665,C4
11,Other services,1375410,Jharkhand,6.335165884,C4
Total,Tertiary,8133341,Jharkhand,37.46233082,C4
12,TOTAL GSVA at basic prices,19623166,Jharkhand,90.38469386,C4
13,Taxes on Products,2499171,Jharkhand,11.51123146,C4
14,Subsidies on products,411619,Jharkhand,1.895925321,C4
15,Gross State Domestic Product,21710718,Jharkhand,100,C4
16,Population ('00),349660,Jharkhand,1.610540932,C4
17,Per Capita GSDP (Rs.),62091,Jharkhand,0.285992384,C4
1,"Agriculture, forestry and fishing",11219422,Karnataka,12.17136833,C2
1.1,Crops,8157179,Karnataka,8.849299914,C2
1.2,Livestock,1868771,Karnataka,2.027332617,C2
1.3,Forestry and logging,693082,Karnataka,0.751888672,C2
1.4,Fishing and aquaculture,500390,Karnataka,0.542847127,C2
2,Mining and quarrying,846882,Karnataka,0.918738305,C2
Total,Primary,12066304,Karnataka,13.09010663,C2
3,Manufacturing,12953843,Karnataka,14.05295161,C2
4,"Electricity, gas, water supply & other utility services",1425762,Karnataka,1.546735157,C2
5,Construction,6104799,Karnataka,6.622779427,C2
Total,Secondary,20484404,Karnataka,22.22246619,C2
6,"Trade, repair, hotels and restaurants",8991658,Karnataka,9.754582848,C2
6.1,Trade & repair services,7523720,Karnataka,8.162093139,C2
6.2,Hotels & restaurants,1467938,Karnataka,1.59248971,C2
7,"Transport, storage, communication & services related to broadcasting",5097652,Karnataka,5.530177946,C2
7.1,Railways,259482,Karnataka,0.281498548,C2
7.2,Road transport,3194576,Karnataka,3.465629616,C2
7.3,Water transport,24152,Karnataka,0.026201251,C2
7.4,Air transport,171785,Karnataka,0.186360626,C2
7.5,Services incidental to transport,55349,Karnataka,0.060045256,C2
7.6,Storage,42787,Karnataka,0.046417394,C2
7.7,Communication & services related to broadcasting,1349520,Karnataka,1.464024171,C2
8,Financial services,4094169,Karnataka,4.441551347,C2
9,"Real estate, ownership of dwelling & professional services",24766393,Karnataka,26.8677737,C2
10,Public administration,2232584,Karnataka,2.422014449,C2
11,Other services,5308174,Karnataka,5.758562332,C2
Total,Tertiary,50490630,Karnataka,54.77466263,C2
12,TOTAL GSVA at basic prices,83041338,Karnataka,90.08723545,C2
13,Taxes on Products,11026674,Karnataka,11.96226603,C2
14,Subsidies on products,1889206,Karnataka,2.049501487,C2
15,Gross State Domestic Product,92178806,Karnataka,100,C2
16,Population ('00),635100,Karnataka,0.688987011,C2
17,Per Capita GSDP (Rs.),145141,Karnataka,0.157455934,C2
1,"Agriculture, forestry and fishing",5930617,Kerala,11.27488796,C3
1.1,Crops,3070386,Kerala,5.837210218,C3
1.2,Livestock,1656104,Kerala,3.148472925,C3
1.3,Forestry and logging,499808,Kerala,0.950201168,C3
1.4,Fishing and aquaculture,704319,Kerala,1.339003651,C3
2,Mining and quarrying,558824,Kerala,1.062398396,C3
Total,Primary,6489442,Kerala,12.33728826,C3
3,Manufacturing,4273567,Kerala,8.124616565,C3
4,"Electricity, gas, water supply & other utility services",482470,Kerala,0.917239335,C3
5,Construction,7314003,Kerala,13.90488787,C3
Total,Secondary,12070040,Kerala,22.94674377,C3
6,"Trade, repair, hotels and restaurants",8557345,Kerala,16.26864559,C3
6.1,Trade & repair services*,7763847,Kerala,14.76010086,C3
6.2,Hotels & restaurants,793498,Kerala,1.508544735,C3
7,"Transport, storage, communication & services related to broadcasting",4020934,Kerala,7.644327791,C3
7.1,Railways,147897,Kerala,0.281171774,C3
7.2,Road transport**,2761427,Kerala,5.249838261,C3
7.3,Water transport,26956,Kerala,0.051246924,C3
7.4,Air transport,125029,Kerala,0.237696679,C3
7.5,Services incidental to transport,71567,Kerala,0.13605834,C3
7.6,Storage,3290,Kerala,0.006254726,C3
7.7,Communication & services related to broadcasting,884767,Kerala,1.682059185,C3
8,Financial services,2010306,Kerala,3.821857813,C3
9,"Real estate, ownership of dwelling & professional services",7287633,Kerala,13.85475501,C3
10,Public administration,2068915,Kerala,3.93328128,C3
11,Other services,5728645,Kerala,10.89091245,C3
Total,Tertiary,29673778,Kerala,56.41377994,C3
12,TOTAL GSVA at basic prices,48233259,Kerala,91.69781007,C3
13,Taxes on Products,5189352,Kerala,9.865645074,C3
14,Subsidies on products,822381,Kerala,1.563455141,C3
15,Gross State Domestic Product,52600230,Kerala,100,C3
16,Population ('00),339843,Kerala,0.646086529,C3
17,Per Capita GSDP (Rs.),154778,Kerala,0.294253466,C3
1,"Agriculture, forestry and fishing",16235647,Madhya_Pradesh,33.68519456,C4
1.1,Crops,13216013,Madhya_Pradesh,27.42015573,C4
1.2,Livestock,1932769,Madhya_Pradesh,4.010046523,C4
1.3,Forestry and logging,965588,Madhya_Pradesh,2.003370709,C4
1.4,Fishing and aquaculture,121277,Madhya_Pradesh,0.251621592,C4
2,Mining and quarrying,1618373,Madhya_Pradesh,3.357747885,C4
Total,Primary,17854020,Madhya_Pradesh,37.04294244,C4
3,Manufacturing,4368833,Madhya_Pradesh,9.064313211,C4
4,"Electricity, gas, water supply & other utility services",1272905,Madhya_Pradesh,2.640982067,C4
5,Construction,4403151,Madhya_Pradesh,9.135515086,C4
Total,Secondary,10044889,Madhya_Pradesh,20.84081036,C4
6,"Trade, repair, hotels and restaurants",5357515,Madhya_Pradesh,11.1155986,C4
6.1,Trade & repair services,5053625,Madhya_Pradesh,10.48509747,C4
6.2,Hotels & restaurants,303890,Madhya_Pradesh,0.63050113,C4
7,"Transport, storage, communication & services related to broadcasting",2865802,Madhya_Pradesh,5.945873172,C4
7.1,Railways,498734,Madhya_Pradesh,1.03475715,C4
7.2,Road transport,1369235,Madhya_Pradesh,2.840844431,C4
7.3,Water transport,0,Madhya_Pradesh,0,C4
7.4,Air transport,26746,Madhya_Pradesh,0.055491735,C4
7.5,Services incidental to transport,36694,Madhya_Pradesh,0.076131523,C4
7.6,Storage,29012,Madhya_Pradesh,0.060193158,C4
7.7,Communication & services related to broadcasting,905381,Madhya_Pradesh,1.878455175,C4
8,Financial services,1988794,Madhya_Pradesh,4.126285378,C4
9,"Real estate, ownership of dwelling & professional services",2660123,Madhya_Pradesh,5.519137044,C4
10,Public administration,2497321,Madhya_Pradesh,5.181360728,C4
11,Other services,2747805,Madhya_Pradesh,5.701056818,C4
Total,Tertiary,18117360,Madhya_Pradesh,37.58931174,C4
12,TOTAL GSVA at basic prices,46016269,Madhya_Pradesh,95.47306455,C4
13,Taxes on Products,4284700,Madhya_Pradesh,8.889756787,C4
14,Subsidies on products,2102800,Madhya_Pradesh,4.362821335,C4
15,Gross State Domestic Product,48198169,Madhya_Pradesh,100,C4
16,Population ('00),765180,Madhya_Pradesh,1.587570681,C4
17,Per Capita GSDP (Rs.),62989,Madhya_Pradesh,0.130687537,C4
1,"Agriculture, forestry and fishing",16475655,Maharashtra,9.193379813,C2
1.1,Crops,10435121,Maharashtra,5.822774922,C2
1.2,Livestock,3972829,Maharashtra,2.216829979,C2
1.3,Forestry and logging,1592564,Maharashtra,0.888647263,C2
1.4,Fishing and aquaculture,475141,Maharashtra,0.265127649,C2
2,Mining and quarrying,5282727,Maharashtra,2.947750227,C2
Total,Primary,21758383,Maharashtra,12.1411306,C2
3,Manufacturing,33660294,Maharashtra,18.78237116,C2
4,"Electricity, gas, water supply & other utility services",4334702,Maharashtra,2.41875433,C2
5,Construction,9450211,Maharashtra,5.273197274,C2
Total,Secondary,47445207,Maharashtra,26.47432277,C2
6,"Trade, repair, hotels and restaurants",15839100,Maharashtra,8.838183502,C2
6.1,Trade & repair services,14286902,Maharashtra,7.972060379,C2
6.2,Hotels & restaurants,1552198,Maharashtra,0.866123123,C2
7,"Transport, storage, communication & services related to broadcasting",9697246,Maharashtra,5.411042269,C2
